Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Endzeit,6+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Endzeit,,to create
Live Free or Die,7-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Live Free or Die,,to create
Meteora,6-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Meteora,,to create
Axelschweiss,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Axelschweiss,,to create
Gullyriss,6+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Gullyriss,,to create
White Russian,8+,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | White Russian,,to create
Mobutu,6,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Mobutu,,to create
Lumumba,7-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Lumumba,,to create
Kettensäge,6+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Kettensäge,,to create
Bad Fischau Bobo,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Bad Fischau Bobo,,to create
Rissal,3-,1-4,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Rissal,,to create
Schnappal,5+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Schnappal,,to create
Diagonal,3+,1-4,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Diagonal,,to create
Katastrophal,5-,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Katastrophal,,to create
Lethal,8+,8-11,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Lethal,,to create
Mental,9,8-11,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Mental,,to create
Brutal,6+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Brutal,,to create
Kausal,6+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Kausal,,to create
Genial,8,8-11,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Genial,,to create
Halal,6+,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Halal,,to create
Suboptimal,6,5-7,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Suboptimal,,to create
Deppal,4,1-4,sport,UIAA,Hohe Wand,Haussteinmugal,Österreich Ost,,,Hohe Wand | Haussteinmugal | Deppal,,to create
Dreckspatz,7,5-7,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Dreckspatz,,to create
Not-Aus,7+/8-,5-7,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Not-Aus,,to create
Not-Geil,8-,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Not-Geil,,to create
Sadomaso,9+/10-,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Sadomaso,,to create
Ready for SM,9+,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Ready for SM,,to create
Ready or Not,9-,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Ready or Not,,to create
All Girls Are 18,9+/10-,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | All Girls Are 18,,to create
Die Welle,8+,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Die Welle,,to create
Verlängerung (Steinwandklamm),,,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Verlängerung (Steinwandklamm),,to create
Speichelfäden in der Buttermilch,8,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Speichelfäden in der Buttermilch,,to create
Push Me Into a Cage,7+,5-7,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Push Me Into a Cage,,to create
Dirty Sanchez,9+,8-11,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Dirty Sanchez,,to create
Anassazi,7,5-7,sport,UIAA,Pernitz,Steinwandklamm,Österreich Ost,,,Pernitz | Steinwandklamm | Anassazi,,to create
Krabblplatte,5-,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Krabblplatte,,to create
Schnifix,7,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Schnifix,,to create
Todesverschneidung,5,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Todesverschneidung,,to create
Chalking Heads,7,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Chalking Heads,,to create
Bluff,7,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Bluff,,to create
Sintal,8-,8-11,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Sintal,,to create
Ofenverschneidung,6,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Ofenverschneidung,,to create
Ofenkante,7-,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Ofenkante,,to create
Riss mit Biss,6,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Riss mit Biss,,to create
Kalkbrand,9-,8-11,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Kalkbrand,,to create
Maxi,5,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Maxi,,to create
Morizi,8,8-11,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Morizi,,to create
Schweinernes mit Krenn,8+,8-11,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Schweinernes mit Krenn,,to create
Leider Geil,8,8-11,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Leider Geil,,to create
Nötsch,9,8-11,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Nötsch,,to create
Erste Schritte,1+,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Erste Schritte,,to create
Krabbelstube,1+,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Krabbelstube,,to create
Gehschule,2,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Gehschule,,to create
Frühfoerderung,2,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Frühfoerderung,,to create
Früh übt sich,2+,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Früh übt sich,,to create
Kindergarten,2+,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Kindergarten,,to create
Volksschule,3+,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Volksschule,,to create
Schulreife,3-,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Schulreife,,to create
Verbale Benotung,3-,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Verbale Benotung,,to create
Erstes Training,5,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Erstes Training,,to create
Detailschulung,5,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Detailschulung,,to create
Übungskante,4,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Übungskante,,to create
Kamin-Einschulung,4,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Kamin-Einschulung,,to create
Nichts für Kinder,7,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Nichts für Kinder,,to create
Ausweiche,6+,5-7,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Ausweiche,,to create
Schattengrat,2+,1-4,sport,UIAA,Pernitz,Kalkofenwand,Österreich Ost,,,Pernitz | Kalkofenwand | Schattengrat,,to create
Nicht warum fragen,7,5-7,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Nicht warum fragen,,to create
Nicht verzagen,6+,5-7,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Nicht verzagen,,to create
Muggendance,7,5-7,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Muggendance,,to create
Power Control,8,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Power Control,,to create
A Riss der Kana is,9-/9,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | A Riss der Kana is,,to create
Meerschweine,7+,5-7,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Meerschweine,,to create
Proteinminister,7+/8-,5-7,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Proteinminister,,to create
Ach wie gut dass niemand weiss,9-,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Ach wie gut dass niemand weiss,,to create
Pe Jing Express,9+,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Pe Jing Express,,to create
No Pain No Game,8/8+,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | No Pain No Game,,to create
Helmi,8,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Helmi,,to create
Armarock,8,8-11,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Armarock,,to create
Geile Sau,6b trav,5-7,sport,UIAA,Pernitz,Kraftwandl,Österreich Ost,,,Pernitz | Kraftwandl | Geile Sau,,to create
Waldquelle,6+/7-,5-7,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Waldquelle,,to create
Nachtschattengewächs,7/7+,5-7,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Nachtschattengewächs,,to create
Schattenspender,7-,5-7,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Schattenspender,,to create
Schattenspiele,7+,5-7,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Schattenspiele,,to create
Shadow on the Wall,9,8-11,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Shadow on the Wall,,to create
Schattendasein,7+,5-7,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Schattendasein,,to create
Balance of Power,8+/9-,8-11,sport,UIAA,Pernitz,Shadow Wall,Österreich Ost,,,Pernitz | Shadow Wall | Balance of Power,,to create
Mordstrum,6+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Mordstrum,,to create
Twittertäufer,7+/8-,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Twittertäufer,,to create
Hintenrum,7+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Hintenrum,,to create
Tee mit Rum,7+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Tee mit Rum,,to create
Seisdrum,7,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Seisdrum,,to create
Memorandum,6,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Memorandum,,to create
Jägerslust,6,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Jägerslust,,to create
Dirty Dancing,6+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Dirty Dancing,,to create
Martialische Kunst,7+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Martialische Kunst,,to create
Wopfinger Topfinger,8,8-11,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Wopfinger Topfinger,,to create
Der Felsinator,9-,8-11,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Der Felsinator,,to create
Steinerweg,8,8-11,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Steinerweg,,to create
Klausenperle,9-,8-11,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Klausenperle,,to create
Jos Projekt,9+,8-11,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Jos Projekt,,to create
Ich Roque,8+/9-,8-11,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Ich Roque,,to create
Ausdruckstanz,7+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Ausdruckstanz,,to create
Henkeldisco,6+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Henkeldisco,,to create
Disco Team,7+,5-7,sport,UIAA,Pernitz,Kleine Klause,Österreich Ost,,,Pernitz | Kleine Klause | Disco Team,,to create
Glückslos,7+,5-7,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Glückslos,,to create
Was ist los,8+,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Was ist los,,to create
Grosser schwarzer Vogel,7,5-7,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Grosser schwarzer Vogel,,to create
Vogelfrei,7,5-7,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Vogelfrei,,to create
Ende gut alles gut,8-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Ende gut alles gut,,to create
Galaktobureko,8-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Galaktobureko,,to create
Schlimmer Anfang-Böses Ende,8+/9-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Schlimmer Anfang-Böses Ende,,to create
Kleine Männer Variante,8,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Kleine Männer Variante,,to create
Schräges Monster,8,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Schräges Monster,,to create
Bröselmonster,8+,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Bröselmonster,,to create
Kleiner Ausreisser,8+/9-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Kleiner Ausreisser,,to create
Schwere Jungs,9+/10-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Schwere Jungs,,to create
Im Sog der Tiefe,8+,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Im Sog der Tiefe,,to create
Helmheimvorteil,8-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Helmheimvorteil,,to create
Hoch mit Gefühl,7-7,5-7,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Hoch mit Gefühl,,to create
Plag dich hoch,8,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Plag dich hoch,,to create
Morbider Höhenrausch,8+,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Morbider Höhenrausch,,to create
Vertrau dich hoch,7+,5-7,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Vertrau dich hoch,,to create
Klettern auf eigene Gefahr,8-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Klettern auf eigene Gefahr,,to create
Watson Direkt,8-,8-11,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Watson Direkt,,to create
Paul Watson,7-,5-7,sport,UIAA,Pernitz,Badener Turm,Österreich Ost,,,Pernitz | Badener Turm | Paul Watson,,to create
Batida de Coco,9+,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Batida de Coco,,to create
Rollin on Chrome,9-/9,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Rollin on Chrome,,to create
Tat Twam Asi,9+/10-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Tat Twam Asi,,to create
Jumping Around,10-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Jumping Around,,to create
The Lost World,8/8+,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | The Lost World,,to create
Mei Thai,8-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Mei Thai,,to create
Dei Thai,9-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Dei Thai,,to create
Tanz der Schatten,10-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Tanz der Schatten,,to create
Totentanz,9+,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Totentanz,,to create
Eng aber Sexy,8,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Eng aber Sexy,,to create
Skywalker,10-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Skywalker,,to create
La Grande Fin,9,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | La Grande Fin,,to create
Käptn Iglo,8,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Käptn Iglo,,to create
Via Maria,7+/8-,5-7,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Via Maria,,to create
Hände falten Goschn halten,9,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Hände falten Goschn halten,,to create
Zwischen Pest und Cholera,8+/9-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Zwischen Pest und Cholera,,to create
Boandlkramer,8-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Boandlkramer,,to create
Phönix aus der Asche,8,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Phönix aus der Asche,,to create
Wie die Geier,9+/10-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Wie die Geier,,to create
Fluch der schwulen Piraten,8-,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Fluch der schwulen Piraten,,to create
Namenlos (Schatzinsel),8+,8-11,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Namenlos (Schatzinsel),,to create
Mozzies Live,7-,5-7,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Mozzies Live,,to create
La Vie en Rose,6-,5-7,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | La Vie en Rose,,to create
Esperanza Clandestina,5+,5-7,sport,UIAA,Pernitz,Schatzinsel,Österreich Ost,,,Pernitz | Schatzinsel | Esperanza Clandestina,,to create
Gleichgewichtsstörung,7a,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Gleichgewichtsstörung,,to create
Fantasma de Luxe,6c,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Fantasma de Luxe,,to create
You Feel Good,6a,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | You Feel Good,,to create
Romantisch Sterben,6c,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Romantisch Sterben,,to create
Calisto,6c,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Calisto,,to create
Squeezing My Ibanez,6c,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Squeezing My Ibanez,,to create
Like an Egyptian,6a,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Like an Egyptian,,to create
Sacred Spirit,8a,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Sacred Spirit,,to create
Mülhalde,6c,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Mülhalde,,to create
Things I've Seen,7a+,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Things I've Seen,,to create
No Justice,7b+,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | No Justice,,to create
Sauer,6c,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Sauer,,to create
Justice,6b,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Justice,,to create
Zeckenattacke,6a,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Zeckenattacke,,to create
Zeck Muss Weg,6a,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Zeck Muss Weg,,to create
Traverse (Schatzinsel),6b+,Boulder,boulder,Font,Pernitz,Schatzinsel (Boulder),Österreich Ost,,,Pernitz | Schatzinsel (Boulder) | Traverse (Schatzinsel),,to create
Glory Hole,7+/8-,5-7,sport,UIAA,Pernitz,Gamswandl,Österreich Ost,,,Pernitz | Gamswandl | Glory Hole,,to create
Strassenstrich,8+,8-11,sport,UIAA,Pernitz,Gamswandl,Österreich Ost,,,Pernitz | Gamswandl | Strassenstrich,,to create
Eiertanz,9-,8-11,sport,UIAA,Pernitz,Gamswandl,Österreich Ost,,,Pernitz | Gamswandl | Eiertanz,,to create
